# Inkform performance log
# startedAt=2026-09-01T18:01:06
# branch=Long
# commit=897c69d083fa0635fc82b263055aaab9a19996cd
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# screen=2560x1440 targetFps=60 vSync=0
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face
0.5,Mine Cave 1,0,0,0,3761.99,673.7,390.20,110.87,Fall,R
1.5,Mine Cave 1,18,1,129,56.09,683.9,390.20,109.71,Land,R
2.5,Mine Cave 1,60,31,205,16.60,684.9,390.20,109.71,Idle,R
3.5,Mine Cave 1,59,25,199,16.90,687.0,390.20,109.71,Idle,R
4.5,Mine Cave 1,60,53,70,16.67,690.4,390.20,109.71,Idle,R
5.5,Mine Cave 1,55,11,518,18.19,698.5,390.30,109.71,Idle,R
6.5,Mine Cave 1,60,56,66,16.67,711.7,391.70,109.71,Idle,R
7.5,Mine Cave 1,60,56,64,16.66,726.6,391.70,109.71,Idle,R
8.5,Mine Cave 1,59,24,63,17.08,743.3,391.70,109.71,Idle,R
9.5,Mine Cave 1,60,52,67,16.66,684.6,391.70,109.71,Idle,R
10.5,Mine Cave 1,60,56,64,16.68,697.0,391.70,109.71,Idle,R
11.5,Mine Cave 1,60,57,64,16.67,712.2,391.70,109.71,Idle,R
12.5,Mine Cave 1,60,57,63,16.67,726.7,391.70,109.71,Idle,R
13.6,Mine Cave 1,60,57,63,16.66,742.7,391.70,109.71,Idle,R
14.6,Mine Cave 1,60,57,63,16.67,761.8,391.87,109.71,Move,R
15.6,Mine Cave 1,60,47,65,16.73,683.6,398.16,109.71,Land,R
16.6,Mine Cave 1,60,56,63,16.67,693.5,405.21,113.77,Fall,R
17.6,Mine Cave 1,60,58,65,16.67,707.9,413.48,112.62,Fall,R
18.6,Mine Cave 1,60,57,64,16.66,722.4,418.99,111.94,Rise,R
19.6,Mine Cave 1,60,57,64,16.67,736.5,422.01,118.80,Rise,R
20.6,Mine Cave 1,60,58,63,16.67,756.1,423.33,116.94,Rise,R
21.6,Mine Cave 1,60,53,68,16.67,682.7,425.52,121.74,Rise,R
22.6,Mine Cave 1,60,54,64,16.65,689.4,426.48,124.05,CeilingMove,R
23.6,Mine Cave 1,60,56,64,16.67,702.2,433.10,123.88,Fall,R
24.6,Mine Cave 1,60,57,65,16.67,716.2,435.95,124.10,CeilingMove,R
25.6,Mine Cave 1,60,53,64,16.70,730.3,438.59,121.91,Fall,R
26.6,Mine Cave 1,60,47,80,16.66,747.5,390.20,109.71,Land,R
27.6,Mine Cave 1,60,57,65,16.67,682.4,394.97,110.61,Fall,R
28.6,Mine Cave 1,60,57,64,16.67,685.4,394.36,109.71,Land,L
29.7,Mine Cave 1,60,56,64,16.66,696.9,390.56,109.71,Idle,L
30.7,Mine Cave 1,60,56,64,16.67,711.3,391.49,109.71,Land,R
31.7,Mine Cave 1,60,56,64,16.66,725.7,390.15,109.71,Idle,L
32.7,Mine Cave 1,60,56,65,16.67,740.9,390.15,109.71,Idle,L
33.7,Mine Cave 1,60,56,64,16.67,760.2,390.15,110.37,Rise,L
34.7,Mine Cave 1,60,55,72,16.67,683.5,390.15,111.04,Fall,L
35.7,Mine Cave 1,60,31,141,16.78,693.2,390.15,109.71,Land,L
36.7,Mine Cave 1,60,57,63,16.66,707.0,390.15,110.89,Fall,L
37.7,Mine Cave 1,60,57,63,16.67,721.3,389.70,109.71,Land,L
38.7,Mine Cave 1,60,57,64,16.67,735.5,386.95,109.71,Move,L
39.7,Mine Cave 1,60,56,64,16.67,754.1,389.45,109.71,Idle,R
40.8,Mine Cave 1,60,57,65,16.66,682.9,390.87,109.71,Idle,R
41.8,Mine Cave 1,60,56,64,16.66,689.5,390.37,109.94,Rise,L
42.8,Mine Cave 1,60,57,64,16.68,702.4,390.37,109.71,Land,L
43.8,Mine Cave 1,60,56,65,16.66,716.6,390.37,109.71,Idle,L
44.8,Mine Cave 1,60,57,65,16.67,730.4,390.37,109.71,Idle,L
45.8,Mine Cave 1,60,57,64,16.65,747.8,390.37,109.71,Idle,L
46.8,Mine Cave 1,60,40,112,16.67,682.7,390.37,109.71,Idle,L
47.8,Mine Cave 1,60,57,64,16.66,685.8,389.15,109.71,Idle,L
48.8,Mine Cave 1,60,56,65,16.67,697.1,389.15,109.71,Idle,L
49.8,Mine Cave 1,60,57,63,16.66,711.2,389.15,109.71,Idle,L
50.9,Mine Cave 1,60,56,64,16.67,725.2,389.15,109.71,Idle,L
51.9,Mine Cave 1,60,56,64,16.65,739.6,395.88,111.57,JumpUp,R
52.9,Mine Cave 1,60,57,65,16.68,759.0,393.45,109.71,Land,L
53.9,Mine Cave 1,60,47,81,16.67,683.6,389.77,109.71,Land,L
54.9,Mine Cave 1,60,56,64,16.66,692.2,389.77,110.79,Fall,L
55.9,Mine Cave 1,60,58,64,16.66,706.3,395.09,109.71,Land,R
56.9,Mine Cave 1,60,56,63,16.67,719.7,401.21,112.36,Rise,R
57.9,Mine Cave 1,60,57,64,16.67,733.3,403.84,116.84,Rise,R
58.9,Mine Cave 1,60,57,64,16.67,751.0,403.83,115.54,WallSlideR,R
59.9,Mine Cave 1,60,57,64,16.67,683.0,407.34,115.10,CeilingStick,R
60.9,Mine Cave 1,60,57,64,16.66,687.5,412.84,115.04,WallSlideR,R
62.0,Mine Cave 1,60,56,64,16.66,699.7,412.49,111.71,Land,R
63.0,Mine Cave 1,60,56,65,16.68,713.6,419.90,111.71,Land,R
64.0,Mine Cave 1,60,56,65,16.66,727.4,418.85,114.51,Fall,L
65.0,Mine Cave 1,60,56,64,16.66,743.3,419.28,111.93,Fall,R
66.0,Mine Cave 1,60,55,65,16.67,761.4,396.62,112.00,Fall,R
67.0,Mine Cave 1,60,51,73,16.67,684.1,402.75,112.19,Fall,R
68.0,Mine Cave 1,60,57,63,16.66,693.0,404.35,110.70,Fall,R
69.0,Mine Cave 1,60,57,65,16.67,706.3,396.78,109.71,Land,R
