# Inkform performance log
# startedAt=2026-09-01T23:08:33
# branch=Test
# commit=df1adf2888395d1546e00d4482d0c556c32ceb5f
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# screen=2560x1440 targetFps=60 vSync=0
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face
0.5,Mine Cave 1,0,0,0,3239.70,674.5,364.14,112.90,Fall,R
1.4,Mine Cave 1,17,1,88,59.81,684.1,363.89,111.64,Land,R
2.4,Mine Cave 1,55,9,415,18.26,688.5,363.89,111.64,Land,R
3.4,Mine Cave 1,60,56,65,16.67,699.5,373.46,111.64,Land,R
4.5,Mine Cave 1,60,57,64,16.66,713.9,383.66,110.38,Fall,R
5.5,Mine Cave 1,60,56,64,16.67,728.2,385.57,110.73,Fall,R
6.5,Mine Cave 1,60,56,64,16.67,743.0,395.57,110.94,Fall,R
7.5,Mine Cave 1,60,38,133,16.67,681.8,399.74,111.05,JumpUp,R
8.5,Mine Cave 1,60,57,64,16.65,691.0,364.14,112.85,Fall,R
9.5,Mine Cave 1,60,57,64,16.67,704.1,372.33,111.69,Land,R
10.5,Mine Cave 1,60,56,64,16.67,718.0,376.96,111.64,Land,R
11.5,Mine Cave 1,60,56,64,16.66,732.6,387.17,109.64,Land,R
12.5,Mine Cave 1,60,55,64,16.67,748.6,396.13,111.05,JumpUp,R
13.5,Mine Cave 1,60,50,66,16.72,768.2,399.33,110.64,Land,R
14.5,Mine Cave 1,60,56,74,16.62,685.5,404.75,113.33,Fall,R
15.6,Mine Cave 1,60,57,64,16.66,696.8,407.44,111.65,Land,R
16.6,Mine Cave 1,60,55,64,16.67,711.0,406.69,111.64,Idle,L
17.6,Mine Cave 1,60,57,66,16.68,725.7,406.69,111.64,Idle,L
18.6,Mine Cave 1,60,56,65,16.67,740.3,406.69,111.64,Idle,L
19.6,Mine Cave 1,60,57,64,16.65,758.7,406.69,111.64,Idle,L
20.7,Mine Cave 1,50,5,86,19.83,686.7,406.69,111.64,Idle,L
21.7,Mine Cave 1,59,28,188,16.96,688.7,406.69,111.64,Idle,L
22.7,Mine Cave 1,56,26,90,17.74,692.9,406.69,111.64,Idle,L
23.7,Mine Cave 1,59,29,128,17.05,710.2,406.69,111.64,Idle,L
24.7,Mine Cave 1,60,32,208,16.78,715.3,406.69,111.64,Idle,L
25.7,Mine Cave 1,59,27,191,16.85,719.8,406.69,111.64,Idle,L
26.7,Mine Cave 1,60,46,89,16.63,727.5,406.69,111.64,Idle,L
27.7,Mine Cave 1,60,36,279,16.74,757.5,406.69,111.64,Idle,L
28.7,Mine Cave 1,60,30,168,16.78,694.5,406.69,111.64,Idle,L
29.7,Mine Cave 1,60,49,188,16.58,696.4,406.69,111.64,Idle,L
30.7,Mine Cave 1,60,50,84,16.68,699.4,406.69,111.64,Idle,L
31.8,Mine Cave 1,60,48,78,16.62,702.8,406.69,111.64,Idle,L
32.8,Mine Cave 1,60,47,83,16.68,706.6,406.69,111.64,Idle,L
33.8,Mine Cave 1,60,46,87,16.74,710.5,406.69,111.64,Idle,L
34.8,Mine Cave 1,60,45,88,16.60,714.8,406.69,111.64,Idle,L
35.8,Mine Cave 1,60,55,65,16.66,720.5,406.69,111.64,Idle,L
36.8,Mine Cave 1,60,56,66,16.66,726.4,406.69,111.64,Idle,L
37.8,Mine Cave 1,60,49,76,16.69,744.1,406.69,111.64,Idle,L
38.8,Mine Cave 1,60,33,111,16.78,704.2,406.69,111.64,Idle,L
39.8,Mine Cave 1,60,49,77,16.68,715.2,406.69,111.64,Idle,L
40.8,Mine Cave 1,60,49,81,16.68,731.5,406.69,111.64,Idle,L
41.9,Mine Cave 1,60,48,80,16.65,759.3,406.69,111.64,Idle,L
42.9,Mine Cave 1,60,40,117,16.62,787.7,406.69,111.64,Idle,L
43.9,Mine Cave 1,60,38,86,16.77,693.7,406.69,111.64,Idle,L
44.9,Mine Cave 1,60,50,75,16.69,705.9,406.69,111.64,Idle,L
45.9,Mine Cave 1,56,11,111,17.89,710.5,406.69,111.64,Idle,L
# summary duration_s=45.9 frames=2658 fps_avg_global=55 fps_min_session=0
