# Inkform performance log
# startedAt=2026-09-01T18:21:10
# branch=Test
# commit=033a258981944c8070ce74422bf5d0d191966a66
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# screen=2560x1440 targetFps=60 vSync=0
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face
0.3,Mine Cave 1,0,0,0,3531.73,673.4,364.14,112.90,Fall,R
1.3,Mine Cave 1,17,1,125,59.21,683.4,364.14,111.64,Land,R
2.3,Mine Cave 1,60,54,66,16.68,684.8,364.14,111.64,Idle,R
3.3,Mine Cave 1,59,22,110,16.91,687.9,364.14,111.64,Idle,R
4.3,Mine Cave 1,60,44,90,16.68,691.8,364.14,111.64,Idle,R
5.3,Mine Cave 1,60,55,68,16.67,695.7,364.14,111.64,Idle,R
6.3,Mine Cave 1,60,55,67,16.67,700.2,365.55,111.64,Idle,R
7.3,Mine Cave 1,60,55,66,16.65,705.2,365.55,111.64,Idle,R
8.3,Mine Cave 1,60,54,69,16.68,710.9,365.55,111.64,Idle,R
9.3,Mine Cave 1,60,52,70,16.68,714.8,364.59,111.64,Idle,L
10.4,Mine Cave 1,60,47,82,16.64,719.4,362.66,111.64,Idle,L
11.4,Mine Cave 1,60,54,68,16.67,725.1,365.40,111.64,Idle,R
12.4,Mine Cave 1,60,54,66,16.67,731.2,366.98,111.64,Move,R
13.4,Mine Cave 1,60,54,67,16.67,737.1,367.29,111.65,Idle,R
14.4,Mine Cave 1,60,53,68,16.65,742.4,364.71,111.65,Move,L
15.4,Mine Cave 1,60,49,77,16.69,747.7,361.09,111.65,Move,R
16.4,Mine Cave 1,60,31,116,16.74,703.4,363.20,111.65,Idle,R
17.4,Mine Cave 1,60,56,66,16.67,704.1,364.15,111.65,Idle,R
18.4,Mine Cave 1,60,56,64,16.67,706.0,368.73,111.65,Move,R
19.4,Mine Cave 1,60,53,66,16.69,708.5,370.59,111.65,Move,R
20.4,Mine Cave 1,60,55,73,16.63,710.9,375.47,111.65,Idle,R
21.4,Mine Cave 1,60,55,67,16.68,713.5,376.89,111.65,Move,R
22.4,Mine Cave 1,60,50,78,16.64,716.1,380.33,111.41,Fall,R
23.4,Mine Cave 1,60,52,71,16.67,719.0,382.64,112.21,JumpUp,R
24.4,Mine Cave 1,60,58,62,16.67,722.3,385.74,109.64,Land,R
25.4,Mine Cave 1,60,55,65,16.68,725.6,394.56,109.98,Fall,R
26.4,Mine Cave 1,60,53,71,16.68,728.9,398.39,110.41,Fall,L
27.4,Mine Cave 1,60,45,80,16.68,732.2,390.01,111.17,Fall,L
28.4,Mine Cave 1,60,49,78,16.62,735.4,399.19,111.31,JumpUp,R
29.5,Mine Cave 1,60,48,83,16.68,738.5,403.37,110.76,Fall,R
30.5,Mine Cave 1,60,47,85,16.68,744.0,364.14,112.07,Fall,R
31.5,Mine Cave 1,60,46,88,16.67,750.9,369.36,112.25,Fall,R
32.5,Mine Cave 1,60,44,97,16.65,758.3,370.55,111.64,Land,R
33.5,Mine Cave 1,60,53,68,16.70,765.5,370.90,111.64,Idle,R
34.5,Mine Cave 1,60,29,182,16.74,715.5,371.60,111.64,Idle,L
35.5,Mine Cave 1,60,48,80,16.67,715.8,364.66,111.64,Land,L
36.6,Mine Cave 1,60,46,85,16.71,716.6,369.58,111.87,JumpUp,R
37.6,Mine Cave 1,60,45,98,16.69,718.8,379.70,112.70,JumpUp,R
38.6,Mine Cave 1,60,45,90,16.59,721.4,380.17,110.64,Land,R
39.6,Mine Cave 1,60,44,93,16.64,724.2,381.96,110.64,Idle,R
40.6,Mine Cave 1,60,54,64,16.68,727.6,383.57,109.64,Land,R
41.6,Mine Cave 1,60,53,73,16.68,731.7,392.77,109.64,Land,R
42.6,Mine Cave 1,60,54,66,16.66,735.8,401.44,111.22,Fall,R
43.6,Mine Cave 1,60,54,67,16.68,739.5,397.26,110.76,Fall,R
44.6,Mine Cave 1,60,53,73,16.65,743.8,399.35,110.64,Land,R
45.6,Mine Cave 1,60,49,77,16.67,747.9,406.77,111.94,Fall,R
46.6,Mine Cave 1,60,54,65,16.67,751.8,416.77,111.64,Land,R
47.6,Mine Cave 1,60,54,66,16.68,755.3,420.77,111.64,Land,R
48.7,Mine Cave 1,60,53,69,16.67,758.9,418.00,116.85,JumpUp,L
49.7,Mine Cave 1,60,49,71,16.66,763.1,417.80,117.09,CeilingStick,R
50.7,Mine Cave 1,60,52,72,16.67,768.5,423.70,115.71,Land,R
51.7,Mine Cave 1,60,27,138,16.77,720.5,427.95,119.41,JumpUp,L
52.7,Mine Cave 1,60,55,66,16.68,720.9,417.86,111.64,Land,L
53.7,Mine Cave 1,60,55,67,16.67,721.9,420.84,111.64,Land,R
54.7,Mine Cave 1,60,55,66,16.66,724.2,414.97,111.64,Land,L
55.7,Mine Cave 1,60,55,68,16.66,726.5,415.33,111.64,Idle,R
56.8,Mine Cave 1,60,56,65,16.66,728.7,415.33,111.64,Idle,R
57.8,Mine Cave 1,60,52,74,16.68,731.0,415.28,111.65,Idle,R
58.8,Mine Cave 1,60,53,73,16.62,733.9,397.26,109.64,Land,R
# summary duration_s=58.8 frames=3468 fps_avg_global=56 fps_min_session=0
