# Inkform performance log
# startedAt=2026-09-01T19:06:49
# branch=Test
# commit=d1229eb44ae0e0122a8604020ef0722e29f9a5dd
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# screen=2560x1440 targetFps=60 vSync=0
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face
0.3,Mine Cave 1,0,0,0,2487.26,669.8,364.14,112.90,Fall,R
1.3,Mine Cave 1,17,1,148,59.56,680.0,364.14,111.64,Land,R
2.3,Mine Cave 1,60,51,75,16.67,681.5,370.73,111.65,Move,R
3.3,Mine Cave 1,60,53,69,16.65,684.8,374.84,113.77,WallSlideR,R
4.3,Mine Cave 1,60,56,64,16.68,689.1,374.83,115.33,WallSlideR,R
5.3,Mine Cave 1,60,56,65,16.67,694.1,374.84,115.59,WallSlideR,R
6.3,Mine Cave 1,60,56,64,16.66,699.2,374.46,115.60,JumpUp,R
7.3,Mine Cave 1,60,54,64,16.69,704.4,374.83,115.26,WallSlideR,R
8.3,Mine Cave 1,60,50,75,16.68,709.9,374.83,115.26,WallSlideR,R
9.3,Mine Cave 1,60,56,64,16.64,715.5,374.83,115.26,WallSlideR,R
10.3,Mine Cave 1,60,55,65,16.68,721.7,374.83,115.26,WallSlideR,R
11.3,Mine Cave 1,60,55,66,16.67,729.1,374.83,115.26,WallSlideR,R
12.3,Mine Cave 1,60,52,74,16.67,736.4,374.83,114.57,WallSlideR,R
13.4,Mine Cave 1,60,55,65,16.66,743.4,374.83,111.64,Land,R
14.4,Mine Cave 1,60,30,203,16.71,701.2,374.83,111.64,Land,R
15.4,Mine Cave 1,60,54,70,16.69,701.5,374.83,111.64,Land,R
16.4,Mine Cave 1,60,55,66,16.67,702.4,374.83,114.42,WallSlideR,R
17.4,Mine Cave 1,60,50,78,16.65,704.3,374.84,115.91,WallSlideR,R
18.4,Mine Cave 1,60,51,74,16.69,706.5,374.84,115.91,WallSlideR,R
19.4,Mine Cave 1,60,49,74,16.63,709.1,374.84,113.97,WallSlideR,R
20.4,Mine Cave 1,60,53,69,16.68,712.1,374.84,116.05,WallSlideR,R
21.4,Mine Cave 1,60,57,64,16.67,715.2,374.26,116.10,CeilingStick,R
22.4,Mine Cave 1,60,58,62,16.69,718.4,374.84,114.86,WallSlideR,R
23.4,Mine Cave 1,60,58,62,16.68,722.2,368.50,111.64,Land,L
24.4,Mine Cave 1,60,53,68,16.68,725.8,367.33,111.64,Move,L
25.4,Mine Cave 1,60,55,65,16.68,729.5,370.19,111.64,Move,R
26.4,Mine Cave 1,60,47,83,16.61,733.0,375.12,111.65,Move,R
27.4,Mine Cave 1,60,47,86,16.68,736.6,375.37,111.65,Idle,R
28.4,Mine Cave 1,60,44,89,16.67,741.4,377.82,111.65,Idle,R
29.4,Mine Cave 1,60,45,89,16.67,748.4,377.82,111.65,Idle,R
30.5,Mine Cave 1,60,45,93,16.66,755.7,376.84,111.65,Idle,L
31.5,Mine Cave 1,60,54,66,16.67,763.2,376.84,111.65,Idle,L
32.5,Mine Cave 1,60,38,184,16.65,714.0,370.39,111.65,Idle,L
33.5,Mine Cave 1,60,56,64,16.67,714.6,370.39,111.65,Idle,L
34.5,Mine Cave 1,60,56,66,16.67,716.5,363.91,111.64,Land,L
35.5,Mine Cave 1,60,55,67,16.67,719.2,369.87,111.90,Fall,R
36.5,Mine Cave 1,60,49,73,16.67,722.2,375.14,112.09,JumpUp,L
37.5,Mine Cave 1,60,55,64,16.69,725.5,364.94,114.45,Fall,L
38.5,Mine Cave 1,60,51,74,16.65,728.7,364.92,113.36,JumpUp,R
39.6,Mine Cave 1,60,54,73,16.64,731.8,375.11,111.64,Land,R
40.6,Mine Cave 1,60,50,75,16.65,735.2,372.52,111.64,Move,L
41.6,Mine Cave 1,60,53,69,16.68,738.6,369.67,111.64,Idle,L
42.6,Mine Cave 1,60,50,77,16.69,742.2,369.67,111.64,Idle,L
43.6,Mine Cave 1,60,53,72,16.67,746.0,369.67,111.64,Idle,L
44.6,Mine Cave 1,60,54,74,16.70,749.6,369.67,111.64,Idle,L
# summary duration_s=44.6 frames=2616 fps_avg_global=56 fps_min_session=0
