# Inkform performance log
# startedAt=2026-09-01T22:59:56
# branch=Test
# commit=814d56ead226e42d532badfa3768a7f345ff5ed5
# unity=6000.4.10f1 platform=WindowsEditor
# device=Z890 UD WIFI6E (Gigabyte Technology Co., Ltd.) os=Windows 11  (10.0.26200)
# screen=2560x1440 targetFps=60 vSync=0
time_s,scene,fps_avg,fps_min,fps_max,frame_ms,gc_mb,x,y,state,face
0.3,Mine Cave 1,0,0,0,3090.81,675.4,364.14,112.90,Fall,R
1.3,Mine Cave 1,16,1,297,63.32,685.4,363.83,111.64,Land,R
2.3,Mine Cave 1,55,13,475,18.02,689.4,365.10,111.66,Move,R
3.3,Mine Cave 1,60,57,63,16.66,700.4,375.09,111.68,Land,R
4.3,Mine Cave 1,60,56,65,16.67,714.0,385.28,109.67,Land,R
5.3,Mine Cave 1,60,56,64,16.66,728.4,391.27,109.64,Land,L
6.3,Mine Cave 1,60,56,64,16.67,743.5,381.27,111.08,Fall,L
7.3,Mine Cave 1,60,38,135,16.71,681.6,373.13,111.64,Land,L
8.3,Mine Cave 1,60,55,66,16.67,687.2,370.78,111.64,Move,R
9.3,Mine Cave 1,60,55,65,16.67,698.3,370.71,111.65,Idle,L
10.3,Mine Cave 1,60,55,65,16.67,711.5,371.77,113.87,Fall,R
11.3,Mine Cave 1,60,57,64,16.66,725.5,381.97,110.64,Land,R
12.3,Mine Cave 1,60,56,63,16.67,740.1,391.97,109.64,Land,R
13.4,Mine Cave 1,60,55,69,16.65,757.5,399.04,111.18,Fall,R
14.4,Mine Cave 1,60,39,128,16.68,683.4,399.36,110.64,Land,R
15.4,Mine Cave 1,60,57,64,16.66,692.5,408.50,111.64,Land,R
16.4,Mine Cave 1,60,56,63,16.67,705.6,418.48,113.76,JumpUp,R
17.4,Mine Cave 1,60,57,63,16.67,720.1,420.59,112.41,Fall,R
18.4,Mine Cave 1,60,57,64,16.67,734.4,400.53,110.83,Fall,R
19.4,Mine Cave 1,60,56,65,16.66,750.4,397.26,110.27,Fall,R
20.4,Mine Cave 1,60,39,145,16.67,681.8,401.39,112.64,JumpUp,R
21.5,Mine Cave 1,60,56,64,16.66,688.1,411.60,113.97,Fall,R
22.5,Mine Cave 1,60,55,64,16.67,699.5,419.59,113.64,Rise,R
23.5,Mine Cave 1,60,57,65,16.65,713.3,418.63,117.16,CeilingStick,R
24.5,Mine Cave 1,60,55,65,16.67,727.5,422.70,117.36,Rise,R
25.5,Mine Cave 1,60,57,65,16.68,742.5,424.14,123.65,Rise,R
26.5,Mine Cave 1,60,56,64,16.66,760.9,433.51,122.99,Fall,R
27.5,Mine Cave 1,60,49,76,16.67,684.5,437.10,121.64,Land,R
28.5,Mine Cave 1,60,49,74,16.66,694.1,438.10,121.73,Land,R
29.5,Mine Cave 1,60,57,64,16.67,707.5,436.01,122.56,Fall,R
30.5,Mine Cave 1,60,56,65,16.68,721.6,443.96,119.64,Land,R
31.6,Mine Cave 1,60,56,64,16.66,736.4,442.38,119.64,Idle,L
32.6,Mine Cave 1,60,57,65,16.67,753.3,442.38,119.64,Idle,L
33.6,Mine Cave 1,60,43,104,16.68,682.1,444.86,119.64,Land,R
34.6,Mine Cave 1,60,57,65,16.66,689.7,441.59,119.64,Land,L
35.6,Mine Cave 1,60,57,63,16.65,702.6,441.59,119.64,Land,L
36.6,Mine Cave 1,60,56,65,16.67,717.2,441.59,119.64,Idle,L
37.6,Mine Cave 1,60,57,63,16.67,731.9,441.59,119.64,Idle,L
38.6,Mine Cave 1,60,56,65,16.67,746.7,444.21,124.16,CeilingIdle,R
39.6,Mine Cave 1,60,53,66,16.69,682.0,445.58,119.64,Land,R
40.6,Mine Cave 1,60,56,66,16.64,686.2,445.62,119.64,Idle,R
41.6,Mine Cave 1,60,50,78,16.68,696.6,445.62,119.64,Idle,R
42.6,Mine Cave 1,60,56,64,16.65,709.2,445.62,119.64,Idle,R
# summary duration_s=42.6 frames=2496 fps_avg_global=55 fps_min_session=0
